period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,586,Pakistan,246,Finland,100630,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed",X,Export,238903.594,179000.0,179000.0,kg
2023,586,Pakistan,246,Finland,1006,Rice,X,Export,196494.252,191000.0,191000.0,kg
