period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2023,100,Bulgaria,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,49186.091,70200.0,70200.0,kg
2023,100,Bulgaria,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,49186.091,70200.0,70200.0,kg
2023,100,Bulgaria,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,49186.091,70200.0,70200.0,kg
2023,100,Bulgaria,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,49186.091,70200.0,70200.0,kg
2022,100,Bulgaria,251,France,100590,"Cereals; maize (corn), other than seed",X,Export,69.35,18.0,18.0,kg
2022,100,Bulgaria,251,France,100590,"Cereals; maize (corn), other than seed",X,Export,69.35,18.0,18.0,kg
2022,100,Bulgaria,251,France,100590,"Cereals; maize (corn), other than seed",X,Export,69.35,18.0,18.0,kg
2022,100,Bulgaria,251,France,100590,"Cereals; maize (corn), other than seed",X,Export,69.35,18.0,18.0,kg
