period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,616,Poland,724,Spain,100590,"Cereals; maize (corn), other than seed",X,Export,18263729.0,52619899.128,52619899.128,kg
2023,616,Poland,724,Spain,100590,"Cereals; maize (corn), other than seed",X,Export,36727610.0,141851933.214,141851933.214,kg
