period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,100,Bulgaria,56,Belgium,100590,"Cereals; maize (corn), other than seed",X,Export,1114.969,217.0,217.0,kg
2022,100,Bulgaria,56,Belgium,100590,"Cereals; maize (corn), other than seed",X,Export,1114.969,217.0,217.0,kg
2022,100,Bulgaria,56,Belgium,100590,"Cereals; maize (corn), other than seed",X,Export,1114.969,217.0,217.0,kg
2022,100,Bulgaria,56,Belgium,100590,"Cereals; maize (corn), other than seed",X,Export,1114.969,217.0,217.0,kg
2023,100,Bulgaria,56,Belgium,100590,"Cereals; maize (corn), other than seed",X,Export,1502.515,255.0,255.0,kg
2023,100,Bulgaria,56,Belgium,100590,"Cereals; maize (corn), other than seed",X,Export,1502.515,255.0,255.0,kg
2023,100,Bulgaria,56,Belgium,100590,"Cereals; maize (corn), other than seed",X,Export,1502.515,255.0,255.0,kg
2023,100,Bulgaria,56,Belgium,100590,"Cereals; maize (corn), other than seed",X,Export,1502.515,255.0,255.0,kg
