period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2023,251,France,203,Czechia,100590,"Cereals; maize (corn), other than seed",X,Export,1801173.386,1553257.0,1553257.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,3990.517,1497.0,1497.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,271.486,41.0,41.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,271.486,41.0,41.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,61.057,4.0,4.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,61.057,4.0,4.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,11025.167,1764.0,1764.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,11025.167,1764.0,1764.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,275.847,21.0,21.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,275.847,21.0,21.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,89.405,9.0,9.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,89.405,9.0,9.0,kg
2023,251,France,203,Czechia,1905,"Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products",X,Export,10026.447,1720.0,1720.0,kg
