period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,616,Poland,276,Germany,100590,"Cereals; maize (corn), other than seed",X,Export,536117026.0,1652700800.0,1652700800.0,kg
2023,616,Poland,276,Germany,100590,"Cereals; maize (corn), other than seed",X,Export,409503083.0,1488225800.0,1488225800.0,kg
2022,616,Poland,276,Germany,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1964476.0,637638.0,637638.0,kg
2023,616,Poland,276,Germany,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2550280.0,871401.0,871401.0,kg
