period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,380,Italy,616,Poland,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,470.713,73.0,73.0,kg
2023,380,Italy,616,Poland,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,43800.029,18594.0,18594.0,kg
