period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,586,Pakistan,56,Belgium,100630,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed",X,Export,10105207.712,13599000.0,13599000.0,kg
2023,586,Pakistan,56,Belgium,100630,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed",X,Export,23477897.364,19676000.0,19676000.0,kg
2022,586,Pakistan,56,Belgium,1006,Rice,X,Export,42946303.406,56029000.0,56029000.0,kg
2023,586,Pakistan,56,Belgium,1006,Rice,X,Export,116867885.749,87137000.0,87137000.0,kg
